WO #,DI #,Site #,Site Name,Address,Latitude,Longitude,Category,Description,Geocode Status,Google Maps,Street View,Bing,FEMA Viewer,FIRMette Portal,MDOT NFC Map,FHWA Class,Urban/Rural,ACUB Name,Road Name,Eligibility,FIRMette Status,Map Status,AGOL Map
,,,Bunker Hill Road,,44.758852,-85.492113,C,"$40,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.758852,-85.492113","https://www.google.com/maps?q&layer=c&cbll=44.758852,-85.492113",https://www.bing.com/maps?cp=44.758852~-85.492113&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.492113%2C44.758852&marker=-85.492113,44.758852,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.758852&longitude=-85.492113,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.492113,44.758852&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Marsh Road,,44.598575,-85.50426,C,"$12,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.598575,-85.50426","https://www.google.com/maps?q&layer=c&cbll=44.598575,-85.50426",https://www.bing.com/maps?cp=44.598575~-85.50426&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.50426%2C44.598575&marker=-85.50426,44.598575,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.598575&longitude=-85.50426,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.50426,44.598575&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Cedar Run Road,,44.759458,-85.706161,C,"$5,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.759458,-85.706161","https://www.google.com/maps?q&layer=c&cbll=44.759458,-85.706161",https://www.bing.com/maps?cp=44.759458~-85.706161&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.706161%2C44.759458&marker=-85.706161,44.759458,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.759458&longitude=-85.706161,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.706161,44.759458&level=16",Local | Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,5 Mile Road,,44.720999,-85.513632,C,"$100,000.00 - Debris - Work Incomplete",,"https://www.google.com/maps?q=44.720999,-85.513632","https://www.google.com/maps?q&layer=c&cbll=44.720999,-85.513632",https://www.bing.com/maps?cp=44.720999~-85.513632&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.513632%2C44.720999&marker=-85.513632,44.720999,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.720999&longitude=-85.513632,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.513632,44.720999&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,North Long Lake Road,,44.746368,-85.735083,C,"$10,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.746368,-85.735083","https://www.google.com/maps?q&layer=c&cbll=44.746368,-85.735083",https://www.bing.com/maps?cp=44.746368~-85.735083&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.735083%2C44.746368&marker=-85.735083,44.746368,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.746368&longitude=-85.735083,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.735083,44.746368&level=16",Minor Arterial,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,Cedar Run Road,,44.762364,-85.809059,C,"$4,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.762364,-85.809059","https://www.google.com/maps?q&layer=c&cbll=44.762364,-85.809059",https://www.bing.com/maps?cp=44.762364~-85.809059&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.809059%2C44.762364&marker=-85.809059,44.762364,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.762364&longitude=-85.809059,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.809059,44.762364&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,Silver Lake Road,,44.728882,-85.663821,C,"$5,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.728882,-85.663821","https://www.google.com/maps?q&layer=c&cbll=44.728882,-85.663821",https://www.bing.com/maps?cp=44.728882~-85.663821&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.663821%2C44.728882&marker=-85.663821,44.728882,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.728882&longitude=-85.663821,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.663821,44.728882&level=16",Minor Arterial,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,Brown Bridge Road,,44.670906,-85.409863,C,"$10,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.670906,-85.409863","https://www.google.com/maps?q&layer=c&cbll=44.670906,-85.409863",https://www.bing.com/maps?cp=44.670906~-85.409863&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.409863%2C44.670906&marker=-85.409863,44.670906,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.670906&longitude=-85.409863,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.409863,44.670906&level=16",Minor Collector,Rural,,,ELIGIBLE - Rural Local,,,
,,,Three Mile Road,,44.682643,-85.557775,C,"$6,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.682643,-85.557775","https://www.google.com/maps?q&layer=c&cbll=44.682643,-85.557775",https://www.bing.com/maps?cp=44.682643~-85.557775&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.557775%2C44.682643&marker=-85.557775,44.682643,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.682643&longitude=-85.557775,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.557775,44.682643&level=16",No road segment within 150 ft,Urban,"Traverse City--Garfield, MI",,No road segment within 150 ft - manual review,,,
,,,Bates Road,,44.796805,-85.434821,C,"$5,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.796805,-85.434821","https://www.google.com/maps?q&layer=c&cbll=44.796805,-85.434821",https://www.bing.com/maps?cp=44.796805~-85.434821&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.434821%2C44.796805&marker=-85.434821,44.796805,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.796805&longitude=-85.434821,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.434821,44.796805&level=16",Major Collector,Rural,,,INELIGIBLE - Rural Major Collector,,,
,,,Angell Road,,44.830841,-85.422017,C,"$2,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.830841,-85.422017","https://www.google.com/maps?q&layer=c&cbll=44.830841,-85.422017",https://www.bing.com/maps?cp=44.830841~-85.422017&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.422017%2C44.830841&marker=-85.422017,44.830841,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.830841&longitude=-85.422017,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.422017,44.830841&level=16",Major Collector,Rural,,,INELIGIBLE - Rural Major Collector,,,
,,,S Airport Road W,,44.733533,-85.616525,C,"$500,000.00 - Bridge - Work Incomplete",,"https://www.google.com/maps?q=44.733533,-85.616525","https://www.google.com/maps?q&layer=c&cbll=44.733533,-85.616525",https://www.bing.com/maps?cp=44.733533~-85.616525&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.616525%2C44.733533&marker=-85.616525,44.733533,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.733533&longitude=-85.616525,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.616525,44.733533&level=16",Minor Arterial,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,Hobbs Highway,,44.652043,-85.508259,C,"$4,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.652043,-85.508259","https://www.google.com/maps?q&layer=c&cbll=44.652043,-85.508259",https://www.bing.com/maps?cp=44.652043~-85.508259&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.508259%2C44.652043&marker=-85.508259,44.652043,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.652043&longitude=-85.508259,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.508259,44.652043&level=16",No road segment within 150 ft,Rural,,,No road segment within 150 ft - manual review,,,
,,,Brown Bridge Road,,44.663096,-85.422288,C,"$8,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.663096,-85.422288","https://www.google.com/maps?q&layer=c&cbll=44.663096,-85.422288",https://www.bing.com/maps?cp=44.663096~-85.422288&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.422288%2C44.663096&marker=-85.422288,44.663096,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.663096&longitude=-85.422288,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.422288,44.663096&level=16",Minor Collector,Rural,,,ELIGIBLE - Rural Local,,,
,,,N W Silver Lake Road,,44.71524,-85.685696,C,"$6,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.71524,-85.685696","https://www.google.com/maps?q&layer=c&cbll=44.71524,-85.685696",https://www.bing.com/maps?cp=44.71524~-85.685696&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.685696%2C44.71524&marker=-85.685696,44.71524,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.71524&longitude=-85.685696,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.685696,44.71524&level=16",Minor Arterial,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,E Hammond Road,,44.715459,-85.540027,C,"$60,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.715459,-85.540027","https://www.google.com/maps?q&layer=c&cbll=44.715459,-85.540027",https://www.bing.com/maps?cp=44.715459~-85.540027&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.540027%2C44.715459&marker=-85.540027,44.715459,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.715459&longitude=-85.540027,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.540027,44.715459&level=16",Minor Arterial,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,M-37,,44.66551,-85.65635,C,"$8,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.66551,-85.65635","https://www.google.com/maps?q&layer=c&cbll=44.66551,-85.65635",https://www.bing.com/maps?cp=44.66551~-85.65635&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.65635%2C44.66551&marker=-85.65635,44.66551,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.66551&longitude=-85.65635,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.65635,44.66551&level=16",Other Principal Arterial,Urban,"Traverse City--Garfield, MI",2 037,INELIGIBLE - Other Principal Arterial,,,
,,,E River Road,,44.698687,-85.623338,C,"$10,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.698687,-85.623338","https://www.google.com/maps?q&layer=c&cbll=44.698687,-85.623338",https://www.bing.com/maps?cp=44.698687~-85.623338&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.623338%2C44.698687&marker=-85.623338,44.698687,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.698687&longitude=-85.623338,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.623338,44.698687&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,Peninsula Drive,,44.860954,-85.5492,C,"$3,000.00 - Culvert - Work Complete",,"https://www.google.com/maps?q=44.860954,-85.5492","https://www.google.com/maps?q&layer=c&cbll=44.860954,-85.5492",https://www.bing.com/maps?cp=44.860954~-85.5492&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.5492%2C44.860954&marker=-85.5492,44.860954,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.860954&longitude=-85.5492,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.5492,44.860954&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,Barnes Road,,44.744786,-85.664481,C,"$15,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.744786,-85.664481","https://www.google.com/maps?q&layer=c&cbll=44.744786,-85.664481",https://www.bing.com/maps?cp=44.744786~-85.664481&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.664481%2C44.744786&marker=-85.664481,44.744786,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.744786&longitude=-85.664481,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.664481,44.744786&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Beitner Road,,44.674891,-85.630711,C,"$5,000,000.00 - Bridge - Work Incomplete",,"https://www.google.com/maps?q=44.674891,-85.630711","https://www.google.com/maps?q&layer=c&cbll=44.674891,-85.630711",https://www.bing.com/maps?cp=44.674891~-85.630711&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.630711%2C44.674891&marker=-85.630711,44.674891,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.674891&longitude=-85.630711,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.630711,44.674891&level=16",Minor Arterial | Non-Certified Roadway,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,Beitner Road,,44.675181,-85.630312,C,"$6,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.675181,-85.630312","https://www.google.com/maps?q&layer=c&cbll=44.675181,-85.630312",https://www.bing.com/maps?cp=44.675181~-85.630312&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.630312%2C44.675181&marker=-85.630312,44.675181,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.675181&longitude=-85.630312,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.630312,44.675181&level=16",Minor Arterial,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,E River Road,,44.647269,-85.551392,C,"$5,000.00 - Culvert - Work Complete",,"https://www.google.com/maps?q=44.647269,-85.551392","https://www.google.com/maps?q&layer=c&cbll=44.647269,-85.551392",https://www.bing.com/maps?cp=44.647269~-85.551392&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.551392%2C44.647269&marker=-85.551392,44.647269,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.647269&longitude=-85.551392,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.551392,44.647269&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,Beitner Road,,44.676359,-85.628665,C,"$10,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.676359,-85.628665","https://www.google.com/maps?q&layer=c&cbll=44.676359,-85.628665",https://www.bing.com/maps?cp=44.676359~-85.628665&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.628665%2C44.676359&marker=-85.628665,44.676359,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.676359&longitude=-85.628665,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.628665,44.676359&level=16",Minor Arterial,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,Karlin Road,,44.574143,-85.768217,C,"$60,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.574143,-85.768217","https://www.google.com/maps?q&layer=c&cbll=44.574143,-85.768217",https://www.bing.com/maps?cp=44.574143~-85.768217&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.768217%2C44.574143&marker=-85.768217,44.574143,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.574143&longitude=-85.768217,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.768217,44.574143&level=16",Major Collector,Rural,,,INELIGIBLE - Rural Major Collector,,,
,,,M-37,,44.92034,-85.504706,C,"$10,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.92034,-85.504706","https://www.google.com/maps?q&layer=c&cbll=44.92034,-85.504706",https://www.bing.com/maps?cp=44.92034~-85.504706&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.504706%2C44.92034&marker=-85.504706,44.92034,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.92034&longitude=-85.504706,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.504706,44.92034&level=16",Major Collector,Rural,,2 037,INELIGIBLE - Rural Major Collector,,,
,,,Brown Bridge Road,,44.656826,-85.438116,C,"$10,000.00 - Bridge - Work Complete",,"https://www.google.com/maps?q=44.656826,-85.438116","https://www.google.com/maps?q&layer=c&cbll=44.656826,-85.438116",https://www.bing.com/maps?cp=44.656826~-85.438116&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.438116%2C44.656826&marker=-85.438116,44.656826,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.656826&longitude=-85.438116,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.438116,44.656826&level=16",Minor Collector,Rural,,,ELIGIBLE - Rural Local,,,
,,,N 4 Mile Road,,44.71664,-85.536221,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.71664,-85.536221","https://www.google.com/maps?q&layer=c&cbll=44.71664,-85.536221",https://www.bing.com/maps?cp=44.71664~-85.536221&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.536221%2C44.71664&marker=-85.536221,44.71664,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.71664&longitude=-85.536221,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.536221,44.71664&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,3 Mile Road,,44.710604,-85.556538,C,"$5,000.00 - Debris - Work Incomplete",,"https://www.google.com/maps?q=44.710604,-85.556538","https://www.google.com/maps?q&layer=c&cbll=44.710604,-85.556538",https://www.bing.com/maps?cp=44.710604~-85.556538&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.556538%2C44.710604&marker=-85.556538,44.710604,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.710604&longitude=-85.556538,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.556538,44.710604&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,E River Road,,44.643099,-85.532659,C,"$40,000.00 - Bridge - Work Incomplete",,"https://www.google.com/maps?q=44.643099,-85.532659","https://www.google.com/maps?q&layer=c&cbll=44.643099,-85.532659",https://www.bing.com/maps?cp=44.643099~-85.532659&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.532659%2C44.643099&marker=-85.532659,44.643099,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.643099&longitude=-85.532659,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.532659,44.643099&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,E River Road,,44.645062,-85.535891,C,"$20,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.645062,-85.535891","https://www.google.com/maps?q&layer=c&cbll=44.645062,-85.535891",https://www.bing.com/maps?cp=44.645062~-85.535891&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.535891%2C44.645062&marker=-85.535891,44.645062,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.645062&longitude=-85.535891,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.535891,44.645062&level=16",No road segment within 150 ft,Urban,"Traverse City--Garfield, MI",,No road segment within 150 ft - manual review,,,
,,,E River Road,,44.645579,-85.538183,C,"$10,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.645579,-85.538183","https://www.google.com/maps?q&layer=c&cbll=44.645579,-85.538183",https://www.bing.com/maps?cp=44.645579~-85.538183&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.538183%2C44.645579&marker=-85.538183,44.645579,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.645579&longitude=-85.538183,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.538183,44.645579&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,Youker Road,,44.59961,-85.727579,C,"$20,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.59961,-85.727579","https://www.google.com/maps?q&layer=c&cbll=44.59961,-85.727579",https://www.bing.com/maps?cp=44.59961~-85.727579&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.727579%2C44.59961&marker=-85.727579,44.59961,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.59961&longitude=-85.727579,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.727579,44.59961&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
,,,S Garfield Road,,44.647262,-85.529883,C,"$40,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.647262,-85.529883","https://www.google.com/maps?q&layer=c&cbll=44.647262,-85.529883",https://www.bing.com/maps?cp=44.647262~-85.529883&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.529883%2C44.647262&marker=-85.529883,44.647262,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.647262&longitude=-85.529883,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.529883,44.647262&level=16",Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Major Collector,,,
